task,dataset,seed,test_size,global_test_mae,token_test_mae,dual_test_mae,dual_gain_vs_global_percent,dual_gain_vs_token_percent,token_gain_vs_global_percent,winner,target_max_abs_delta
Jarvis-Bandgap_MBJ,JARVIS,43,1818,0.25764317648245555,0.27399494876824854,0.2530783020427125,1.7717816175325414,7.633953406647601,-6.346673918960348,Dual,0.0
Jarvis-Bandgap_OPT,JARVIS,43,5573,0.12717070619956866,0.11591644818021732,0.11638302167634572,8.48283763266507,-0.40250844763894955,8.849725188826163,Token,0.0
Jarvis-FormationEnergy,JARVIS,43,5573,0.029942333361372243,0.028965952103128988,0.027723959740201167,7.408820129004831,4.287766404176498,3.260872312319042,Dual,0.0
Jarvis-TotalEnergy,JARVIS,43,5573,0.03258154393525862,0.03141478274639902,0.029913638601948237,8.188394443835016,4.778464191743791,3.581049416129628,Dual,0.0
Jarvis-BulkModulusKv,JARVIS,43,1968,9.506418516965416,9.473764196643984,9.107826519787796,4.192872388968379,3.8626428657134895,0.34349760914856264,Dual,0.0
Jarvis-ShearModulusGv,JARVIS,43,1968,8.990675102404463,8.819102796112618,8.618285124379446,4.1419579039779295,2.277075983530791,1.9083361854101408,Dual,0.0
MP-Bandgap,MP,43,516,0.20925019496633102,0.19471574857715487,0.19427068820295407,7.158658449894012,0.22856927467500351,6.945965518223186,Dual,0.0
MP-FormationEnergy,MP,43,516,0.024935508652250898,0.023895030797914024,0.02322544157505036,6.857959470765282,2.802211173220654,4.17267547595405,Dual,0.0
MP-BulkModuli,MP,43,583,0.03833650878117792,0.03643999858336015,0.03537807200826053,7.7170218858580455,2.9141784203705763,4.947008108231535,Dual,0.0
MP-ShearModuli,MP,43,583,0.07175613993436968,0.07210854477988712,0.06954212259264794,3.085474418978975,3.5591096659532377,-0.49111455248257274,Dual,0.0
