task,dataset,model_name,seed,best_valid_epoch,valid_mae,test_mae,training_time_seconds,parameter_count,test_forward_count,checkpoint_sha256,protocol_sha256
Jarvis-Bandgap_MBJ,JARVIS,original_sftmat,43,297,0.23770956974732857,0.25764317664638475,6547.433988397941,2661154,1,d7a0a2a6b4afde2368592b63ce9582275a558f665bec87522b6957894ab6a343,adae888170a616d63ca455803e3c186d270cb62ae5bbd3ed70b55835dc8c674d
Jarvis-Bandgap_MBJ,JARVIS,ours,43,174,0.24789867246288746,0.2739949499157527,7218.46828122437,2800739,1,2ed88f2942406e3e1930f2cccc4247b82cc083f34c5fa662467f9edef22c29ce,adae888170a616d63ca455803e3c186d270cb62ae5bbd3ed70b55835dc8c674d
Jarvis-Bandgap_OPT,JARVIS,original_sftmat,43,275,0.12093770628085003,0.12717070588940632,18806.238867376,2661154,1,7ec65f0d4ce8007e65b70112cf9e171a39fc8c879f68e53d9424675ebb1f4e15,adae888170a616d63ca455803e3c186d270cb62ae5bbd3ed70b55835dc8c674d
Jarvis-Bandgap_OPT,JARVIS,ours,43,290,0.12394888903370711,0.11591644717486355,22114.27072708495,2800739,1,2ff0797fd4bace76f10610510725b0f77d59a2833bf7ae2f88ef0b55f4b5dfce,adae888170a616d63ca455803e3c186d270cb62ae5bbd3ed70b55835dc8c674d
Jarvis-FormationEnergy,JARVIS,original_sftmat,43,279,0.02969611392805068,0.0299423333132436,20534.915717208758,2661154,1,02a48990a25d712ffbf5cfd59a62355e4454170b72d366ca2bc84681ebbe8051,adae888170a616d63ca455803e3c186d270cb62ae5bbd3ed70b55835dc8c674d
Jarvis-FormationEnergy,JARVIS,ours,43,279,0.029251425035634833,0.028965951948047818,22180.395707232878,2800739,1,e46c4834d6f5af41218e48528f92d0706ca494a80a94cb32dfe1539e0d79c708,adae888170a616d63ca455803e3c186d270cb62ae5bbd3ed70b55835dc8c674d
Jarvis-TotalEnergy,JARVIS,original_sftmat,43,285,0.031262843132190195,0.032581543956649126,19884.878883974627,2661154,1,3b09ebf19d192e667c10f9ffaeadb71a3421c5590661f1814bf04180e43ec3d6,adae888170a616d63ca455803e3c186d270cb62ae5bbd3ed70b55835dc8c674d
Jarvis-TotalEnergy,JARVIS,ours,43,287,0.0307532494562783,0.03141478261805599,22817.805995879695,2800739,1,1dd3f9641cc886f8852eb74f7f7811601ba9be2cc5d79ae2a7f700885d1b6f30,adae888170a616d63ca455803e3c186d270cb62ae5bbd3ed70b55835dc8c674d
Jarvis-BulkModulusKv,JARVIS,original_sftmat,43,225,9.013061740534093,9.506418491766706,7470.047908872366,2661154,1,68e41b7d47b3afc1ee73c745ae41d8c87b2b05f2c1a0c58d4f4941c4a13019bf,adae888170a616d63ca455803e3c186d270cb62ae5bbd3ed70b55835dc8c674d
Jarvis-BulkModulusKv,JARVIS,ours,43,211,9.185918358283315,9.473764217965972,8060.025048708543,2800739,1,9b0b9ac6ebd498336173a8f9956dc72e2bba451bf5689e3fcd45e96dbca3a718,adae888170a616d63ca455803e3c186d270cb62ae5bbd3ed70b55835dc8c674d
