task,dataset,unit,test_size,global_test_mae_mean,global_test_mae_std,token_test_mae_mean,token_test_mae_std,dual_test_mae_mean,dual_test_mae_std,dual_gain_vs_global_mean_percent,dual_gain_vs_global_std_percent,dual_gain_vs_token_mean_percent,dual_gain_vs_token_std_percent,seed42_winner,seed43_winner,two_seed_mean_winner,dual_wins_vs_global_seed_count,dual_wins_vs_both_seed_count
Jarvis-Bandgap_MBJ,JARVIS,eV,1818,0.2596411001597038,0.0028254907609508296,0.2673245972172,0.009433301629289282,0.25179969443149697,0.0018082242247344786,3.010561825655393,1.751899771126702,5.760769872695127,2.6490815585295517,Dual,Dual,Dual,2,2
Jarvis-Bandgap_OPT,JARVIS,eV,5573,0.12465409615802184,0.0035590240519598366,0.11903575267298483,0.0044113627188431415,0.11576371613362524,0.0008758302977681431,7.104207198476492,1.9496778575297966,2.668314477431608,4.342799428281001,Dual,Token,Dual,2,1
Jarvis-FormationEnergy,JARVIS,eV/atom,5573,0.02945300928944853,0.0006920087389101425,0.028831585097330015,0.00019002364193637083,0.027436768467991438,0.0004061497921541854,6.836104129188399,0.8099427343284651,4.840383069798544,0.781517983316095,Dual,Dual,Dual,2,2
Jarvis-TotalEnergy,JARVIS,eV/atom,5573,0.032295513180883806,0.0004045085720926719,0.031421571237361105,9.600375986626535e-06,0.02979571505827555,0.00016676907478500806,7.736384997461023,0.6392378893828516,5.174245740956774,0.5597196346340358,Dual,Dual,Dual,2,2
Jarvis-BulkModulusKv,JARVIS,GPa,1968,9.605490387939826,0.14010878358168713,9.408466495149504,0.09234489504528416,9.141745516439762,0.04796870508729943,4.821431571461033,0.8889169206352565,2.827721167586173,1.4636003014858452,Dual,Dual,Dual,2,2
Jarvis-ShearModulusGv,JARVIS,GPa,1968,8.967741837346457,0.03243253447452889,8.728515311954467,0.12811004867771517,8.522040402016989,0.1361105916718191,4.972175151099651,1.174104490595594,2.366449085553165,0.12639265299139532,Dual,Dual,Dual,2,2
MP-Bandgap,MP,eV,516,0.21159932566012524,0.0033221724869507063,0.19621960125690283,0.002126768855510677,0.19635359408665998,0.002945673749883595,7.204491249461287,0.06481736674956856,-0.06602933642697038,0.41662535127668854,Token,Dual,Token,2,1
MP-FormationEnergy,MP,eV/atom,516,0.024372920393943766,0.000795619944929804,0.024256468454534674,0.0005111500359452721,0.022768678158059608,0.0006459610191042033,6.5755494388877835,0.3993880972313746,6.0846707925104715,4.642098911541686,Dual,Dual,Dual,2,2
MP-BulkModuli,MP,log10(GPa),583,0.03760960560106697,0.0010279963358450351,0.03615597938387101,0.00040166380389189204,0.03493770645167775,0.0006227709425213462,7.092223997135354,0.8835976479737068,3.373097259677656,0.64900924657659,Dual,Dual,Dual,2,2
MP-ShearModuli,MP,log10(GPa),583,0.07198102273826532,0.00031803231121370346,0.07163585806792636,0.0006684799588084726,0.06953265409322383,1.3390480300900698e-05,3.4004245608341774,0.4454067620829573,2.9318262473311556,0.8871127180671073,Dual,Dual,Dual,2,2
